date,channel,region,daypart,segment_id,forecast_p20,forecast_p50,actual_impressions,forecast_error,overlap_commitments,sellable_p20,sellable_p50
2026-09-02,lake_city,D-CH,daytime,w_25_49,92590,118706,113369,-5337,0,92590,118706
2026-09-02,lake_city,D-CH,daytime,m_25_49,85977,110227,105272,-4955,0,85977,110227
2026-09-02,lake_city,D-CH,prime,all_adults,431102,552695,512295,-40400,0,431102,552695
2026-09-02,lake_city,D-CH,prime,w_25_49,120708,154754,143443,-11311,0,120708,154754
2026-09-02,lake_city,D-CH,prime,m_25_49,112086,143700,133197,-10503,0,112086,143700
2026-09-02,lake_city,F-CH,daytime,all_adults,137191,175886,172203,-3683,0,137191,175886
2026-09-02,lake_city,F-CH,daytime,w_25_49,38413,49248,48217,-1031,0,38413,49248
2026-09-02,lake_city,F-CH,daytime,m_25_49,35669,45730,44773,-957,0,35669,45730
2026-09-02,lake_city,F-CH,prime,all_adults,193687,248317,231376,-16941,0,193687,248317
2026-09-02,lake_city,F-CH,prime,w_25_49,54232,69528,64785,-4743,0,54232,69528
2026-09-02,lake_city,F-CH,prime,m_25_49,50358,64562,60158,-4404,0,50358,64562
2026-09-03,north_peak,D-CH,daytime,all_adults,308365,395341,357899,-37442,0,308365,395341
2026-09-03,north_peak,D-CH,daytime,w_25_49,86342,110695,100212,-10483,0,86342,110695
2026-09-03,north_peak,D-CH,daytime,m_25_49,80174,102788,93054,-9734,0,80174,102788
2026-09-03,north_peak,D-CH,prime,all_adults,540101,692438,626931,-65507,0,540101,692438
2026-09-03,north_peak,D-CH,prime,w_25_49,151228,193882,175541,-18341,0,151228,193882
2026-09-03,north_peak,D-CH,prime,m_25_49,140426,180033,163002,-17031,0,140426,180033
2026-09-03,north_peak,F-CH,daytime,all_adults,137322,176055,183229,7174,0,137322,176055
2026-09-03,north_peak,F-CH,daytime,w_25_49,38450,49295,51304,2009,0,38450,49295
2026-09-03,north_peak,F-CH,daytime,m_25_49,35703,45774,47640,1866,0,35703,45774
2026-09-03,north_peak,F-CH,prime,all_adults,205799,263845,253571,-10274,0,205799,263845
2026-09-03,north_peak,F-CH,prime,w_25_49,57623,73876,71000,-2876,0,57623,73876
2026-09-03,north_peak,F-CH,prime,m_25_49,53507,68599,65928,-2671,0,53507,68599
2026-09-03,lake_city,D-CH,daytime,all_adults,329770,422783,412256,-10527,0,329770,422783
2026-09-03,lake_city,D-CH,daytime,w_25_49,92335,118379,115432,-2947,0,92335,118379
2026-09-03,lake_city,D-CH,daytime,m_25_49,85740,109923,107187,-2736,0,85740,109923
2026-09-03,lake_city,D-CH,prime,all_adults,470456,603149,588728,-14421,0,470456,603149
2026-09-03,lake_city,D-CH,prime,w_25_49,131727,168881,164844,-4037,0,131727,168881
2026-09-03,lake_city,D-CH,prime,m_25_49,122318,156818,153069,-3749,0,122318,156818
2026-09-03,lake_city,F-CH,daytime,all_adults,148809,190781,161444,-29337,0,148809,190781
2026-09-03,lake_city,F-CH,daytime,w_25_49,41666,53418,45204,-8214,0,41666,53418
2026-09-03,lake_city,F-CH,daytime,m_25_49,38690,49603,41975,-7628,0,38690,49603
2026-09-03,lake_city,F-CH,prime,all_adults,224264,287518,281637,-5881,0,224264,287518
2026-09-03,lake_city,F-CH,prime,w_25_49,62793,80505,78858,-1647,0,62793,80505
2026-09-03,lake_city,F-CH,prime,m_25_49,58308,74754,73226,-1528,0,58308,74754
2026-09-04,north_peak,D-CH,daytime,all_adults,314990,403834,456345,52511,0,314990,403834
2026-09-04,north_peak,D-CH,daytime,w_25_49,88197,113073,127777,14704,0,88197,113073
2026-09-04,north_peak,D-CH,daytime,m_25_49,81897,104996,118650,13654,0,81897,104996
2026-09-04,north_peak,D-CH,prime,all_adults,531002,680773,595034,-85739,0,531002,680773
2026-09-04,north_peak,D-CH,prime,w_25_49,148680,190616,166610,-24006,0,148680,190616
2026-09-04,north_peak,D-CH,prime,m_25_49,138060,177000,154709,-22291,0,138060,177000
2026-09-04,north_peak,F-CH,daytime,all_adults,138206,177188,180046,2858,0,138206,177188
2026-09-04,north_peak,F-CH,daytime,w_25_49,38697,49612,50413,801,0,38697,49612
2026-09-04,north_peak,F-CH,daytime,m_25_49,35933,46068,46812,744,0,35933,46068
2026-09-04,north_peak,F-CH,prime,all_adults,210851,270322,276980,6658,0,210851,270322
2026-09-04,north_peak,F-CH,prime,w_25_49,59038,75690,77554,1864,0,59038,75690
2026-09-04,north_peak,F-CH,prime,m_25_49,54821,70283,72015,1732,0,54821,70283
2026-09-04,lake_city,D-CH,daytime,all_adults,326291,418323,428103,9780,0,326291,418323
2026-09-04,lake_city,D-CH,daytime,w_25_49,91361,117130,119869,2739,0,91361,117130
2026-09-04,lake_city,D-CH,daytime,m_25_49,84835,108763,111307,2544,0,84835,108763
2026-09-04,lake_city,D-CH,prime,all_adults,551606,707188,647746,-59442,0,551606,707188
2026-09-04,lake_city,D-CH,prime,w_25_49,154449,198012,181369,-16643,0,154449,198012
2026-09-04,lake_city,D-CH,prime,m_25_49,143417,183868,168414,-15454,0,143417,183868
2026-09-04,lake_city,F-CH,daytime,all_adults,139269,178550,166575,-11975,0,139269,178550
2026-09-04,lake_city,F-CH,daytime,w_25_49,38995,49994,46641,-3353,0,38995,49994
2026-09-04,lake_city,F-CH,daytime,m_25_49,36209,46423,43310,-3113,0,36209,46423
2026-09-04,lake_city,F-CH,prime,all_adults,214895,275507,241075,-34432,0,214895,275507
2026-09-04,lake_city,F-CH,prime,w_25_49,60170,77141,67501,-9640,0,60170,77141
2026-09-04,lake_city,F-CH,prime,m_25_49,55872,71631,62680,-8951,0,55872,71631
2026-09-05,north_peak,D-CH,daytime,all_adults,259294,332429,317238,-15191,0,259294,332429
2026-09-05,north_peak,D-CH,daytime,w_25_49,72602,93080,88827,-4253,0,72602,93080
2026-09-05,north_peak,D-CH,daytime,m_25_49,67416,86431,82482,-3949,0,67416,86431
2026-09-05,north_peak,D-CH,prime,all_adults,438832,562606,597272,34666,0,438832,562606
2026-09-05,north_peak,D-CH,prime,w_25_49,122872,157529,167236,9707,0,122872,157529
2026-09-05,north_peak,D-CH,prime,m_25_49,114096,146277,155291,9014,0,114096,146277
2026-09-05,north_peak,F-CH,daytime,all_adults,103865,133161,120700,-12461,0,103865,133161
2026-09-05,north_peak,F-CH,daytime,w_25_49,29082,37285,33796,-3489,0,29082,37285
2026-09-05,north_peak,F-CH,daytime,m_25_49,27004,34621,31382,-3239,0,27004,34621
2026-09-05,north_peak,F-CH,prime,all_adults,181666,232906,188795,-44111,0,181666,232906
2026-09-05,north_peak,F-CH,prime,w_25_49,50866,65213,52863,-12350,0,50866,65213
2026-09-05,north_peak,F-CH,prime,m_25_49,47233,60555,49087,-11468,0,47233,60555
2026-09-05,lake_city,D-CH,daytime,all_adults,261166,334829,322178,-12651,0,261166,334829
2026-09-05,lake_city,D-CH,daytime,w_25_49,73126,93752,90210,-3542,0,73126,93752
2026-09-05,lake_city,D-CH,daytime,m_25_49,67903,87055,83766,-3289,0,67903,87055
2026-09-05,lake_city,D-CH,prime,all_adults,447783,574081,588520,14439,0,447783,574081
2026-09-05,lake_city,D-CH,prime,w_25_49,125379,160742,164786,4044,0,125379,160742
2026-09-05,lake_city,D-CH,prime,m_25_49,116423,149261,153015,3754,0,116423,149261
2026-09-05,lake_city,F-CH,daytime,all_adults,110610,141808,133372,-8436,0,110610,141808
2026-09-05,lake_city,F-CH,daytime,w_25_49,30970,39706,37344,-2362,0,30970,39706
2026-09-05,lake_city,F-CH,daytime,m_25_49,28758,36870,34677,-2193,0,28758,36870
2026-09-05,lake_city,F-CH,prime,all_adults,172253,220838,241129,20291,0,172253,220838
2026-09-05,lake_city,F-CH,prime,w_25_49,48230,61834,67516,5682,0,48230,61834
2026-09-05,lake_city,F-CH,prime,m_25_49,44785,57417,62694,5277,0,44785,57417
2026-09-06,north_peak,D-CH,daytime,all_adults,261732,335555,317336,-18219,0,261732,335555
2026-09-06,north_peak,D-CH,daytime,w_25_49,73284,93955,88854,-5101,0,73284,93955
2026-09-06,north_peak,D-CH,daytime,m_25_49,68050,87244,82507,-4737,0,68050,87244
2026-09-06,north_peak,D-CH,prime,all_adults,374165,479699,396178,-83521,0,374165,479699
2026-09-06,north_peak,D-CH,prime,w_25_49,104766,134315,110930,-23385,0,104766,134315
2026-09-06,north_peak,D-CH,prime,m_25_49,97282,124721,103006,-21715,0,97282,124721
2026-09-06,north_peak,F-CH,daytime,all_adults,111489,142935,125907,-17028,0,111489,142935
2026-09-06,north_peak,F-CH,daytime,w_25_49,31216,40021,35254,-4767,0,31216,40021
2026-09-06,north_peak,F-CH,daytime,m_25_49,28987,37163,32736,-4427,0,28987,37163
2026-09-06,north_peak,F-CH,prime,all_adults,153787,197163,158455,-38708,0,153787,197163
2026-09-06,north_peak,F-CH,prime,w_25_49,43060,55205,44367,-10838,0,43060,55205
2026-09-06,north_peak,F-CH,prime,m_25_49,39984,51262,41198,-10064,0,39984,51262
2026-09-06,lake_city,D-CH,daytime,all_adults,287426,368496,376693,8197,0,287426,368496
2026-09-06,lake_city,D-CH,daytime,w_25_49,80479,103178,105474,2296,0,80479,103178
2026-09-06,lake_city,D-CH,daytime,m_25_49,74730,95808,97940,2132,0,74730,95808
2026-09-06,lake_city,D-CH,prime,all_adults,365883,469081,412877,-56204,0,365883,469081
2026-09-06,lake_city,D-CH,prime,w_25_49,102447,131342,115606,-15736,0,102447,131342
2026-09-06,lake_city,D-CH,prime,m_25_49,95129,121961,107348,-14613,0,95129,121961
2026-09-06,lake_city,F-CH,daytime,all_adults,110524,141698,149373,7675,0,110524,141698
2026-09-06,lake_city,F-CH,daytime,w_25_49,30946,39675,41824,2149,0,30946,39675
2026-09-06,lake_city,F-CH,daytime,m_25_49,28736,36841,38837,1996,0,28736,36841
2026-09-06,lake_city,F-CH,prime,all_adults,153843,197235,172449,-24786,0,153843,197235
2026-09-06,lake_city,F-CH,prime,w_25_49,43076,55225,48286,-6939,0,43076,55225
2026-09-06,lake_city,F-CH,prime,m_25_49,39999,51281,44837,-6444,0,39999,51281
2026-09-07,north_peak,D-CH,daytime,all_adults,302225,387469,386591,-878,0,302225,387469
2026-09-07,north_peak,D-CH,daytime,w_25_49,84623,108491,108245,-246,0,84623,108491
2026-09-07,north_peak,D-CH,daytime,m_25_49,78578,100741,100514,-227,0,78578,100741
2026-09-07,north_peak,D-CH,prime,all_adults,456345,585058,472243,-112815,0,456345,585058
2026-09-07,north_peak,D-CH,prime,w_25_49,127776,163816,132228,-31588,0,127776,163816
2026-09-07,north_peak,D-CH,prime,m_25_49,118649,152115,122783,-29332,0,118649,152115
2026-09-07,north_peak,F-CH,daytime,all_adults,135078,173177,155513,-17664,0,135078,173177
2026-09-07,north_peak,F-CH,daytime,w_25_49,37821,48489,43544,-4945,0,37821,48489
2026-09-07,north_peak,F-CH,daytime,m_25_49,35120,45026,40433,-4593,0,35120,45026
2026-09-07,north_peak,F-CH,prime,all_adults,215366,276111,317411,41300,0,215366,276111
2026-09-07,north_peak,F-CH,prime,w_25_49,60302,77311,88875,11564,0,60302,77311
2026-09-07,north_peak,F-CH,prime,m_25_49,55995,71788,82527,10739,0,55995,71788
2026-09-07,lake_city,D-CH,daytime,all_adults,311251,399040,367150,-31890,0,311251,399040
2026-09-07,lake_city,D-CH,daytime,w_25_49,87150,111731,102802,-8929,0,87150,111731
2026-09-07,lake_city,D-CH,daytime,m_25_49,80925,103750,95459,-8291,0,80925,103750
2026-09-07,lake_city,D-CH,prime,all_adults,514037,659023,665244,6221,0,514037,659023
2026-09-07,lake_city,D-CH,prime,w_25_49,143930,184526,186268,1742,0,143930,184526
2026-09-07,lake_city,D-CH,prime,m_25_49,133649,171345,172963,1618,0,133649,171345
2026-09-07,lake_city,F-CH,daytime,all_adults,136134,174532,166420,-8112,0,136134,174532
2026-09-07,lake_city,F-CH,daytime,w_25_49,38117,48868,46598,-2270,0,38117,48868
2026-09-07,lake_city,F-CH,daytime,m_25_49,35394,45378,43269,-2109,0,35394,45378
2026-09-07,lake_city,F-CH,prime,all_adults,222256,284944,288247,3303,0,222256,284944
2026-09-07,lake_city,F-CH,prime,w_25_49,62231,79784,80709,925,0,62231,79784
2026-09-07,lake_city,F-CH,prime,m_25_49,57786,74085,74944,859,0,57786,74085
2026-09-08,north_peak,D-CH,daytime,all_adults,307281,393951,379636,-14315,0,307281,393951
2026-09-08,north_peak,D-CH,daytime,w_25_49,86038,110306,106298,-4008,0,86038,110306
2026-09-08,north_peak,D-CH,daytime,m_25_49,79893,102427,98705,-3722,0,79893,102427
2026-09-08,north_peak,D-CH,prime,all_adults,508854,652378,577772,-74606,0,508854,652378
2026-09-08,north_peak,D-CH,prime,w_25_49,142479,182665,161776,-20889,0,142479,182665
2026-09-08,north_peak,D-CH,prime,m_25_49,132302,169618,150221,-19397,0,132302,169618
2026-09-08,north_peak,F-CH,daytime,all_adults,139737,179150,161479,-17671,0,139737,179150
2026-09-08,north_peak,F-CH,daytime,w_25_49,39126,50162,45214,-4948,0,39126,50162
2026-09-08,north_peak,F-CH,daytime,m_25_49,36331,46579,41985,-4594,0,36331,46579
2026-09-08,north_peak,F-CH,prime,all_adults,225705,289366,285146,-4220,0,225705,289366
2026-09-08,north_peak,F-CH,prime,w_25_49,63197,81022,79841,-1181,0,63197,81022
2026-09-08,north_peak,F-CH,prime,m_25_49,58683,75235,74138,-1097,0,58683,75235
2026-09-08,lake_city,D-CH,daytime,all_adults,329355,422250,389617,-32633,0,329355,422250
2026-09-08,lake_city,D-CH,daytime,w_25_49,92219,118230,109093,-9137,0,92219,118230
2026-09-08,lake_city,D-CH,daytime,m_25_49,85632,109785,101300,-8485,0,85632,109785
2026-09-08,lake_city,D-CH,prime,all_adults,504166,646367,523673,-122694,0,504166,646367
2026-09-08,lake_city,D-CH,prime,w_25_49,141166,180982,146628,-34354,0,141166,180982
2026-09-08,lake_city,D-CH,prime,m_25_49,131083,168055,136155,-31900,0,131083,168055
2026-09-08,lake_city,F-CH,daytime,all_adults,128251,164425,164265,-160,0,128251,164425
2026-09-08,lake_city,F-CH,daytime,w_25_49,35910,46039,45994,-45,0,35910,46039
2026-09-08,lake_city,F-CH,daytime,m_25_49,33345,42750,42709,-41,0,33345,42750
2026-09-08,lake_city,F-CH,prime,all_adults,186030,238500,247498,8998,0,186030,238500
2026-09-08,lake_city,F-CH,prime,w_25_49,52088,66780,69299,2519,0,52088,66780
2026-09-08,lake_city,F-CH,prime,m_25_49,48367,62010,64349,2339,0,48367,62010
2026-09-09,north_peak,D-CH,daytime,all_adults,293278,375998,387480,11482,0,293278,375998
2026-09-09,north_peak,D-CH,daytime,w_25_49,82117,105279,108494,3215,0,82117,105279
2026-09-09,north_peak,D-CH,daytime,m_25_49,76252,97759,100745,2986,0,76252,97759
2026-09-09,north_peak,D-CH,prime,all_adults,482019,617974,637946,19972,0,482019,617974
2026-09-09,north_peak,D-CH,prime,w_25_49,134965,173032,178625,5593,0,134965,173032
2026-09-09,north_peak,D-CH,prime,m_25_49,125324,160673,165866,5193,0,125324,160673
2026-09-09,north_peak,F-CH,daytime,all_adults,138672,177785,150593,-27192,0,138672,177785
2026-09-09,north_peak,F-CH,daytime,w_25_49,38828,49779,42166,-7613,0,38828,49779
2026-09-09,north_peak,F-CH,daytime,m_25_49,36054,46224,39154,-7070,0,36054,46224
2026-09-09,north_peak,F-CH,prime,all_adults,229251,293912,318993,25081,0,229251,293912
2026-09-09,north_peak,F-CH,prime,w_25_49,64190,82295,89318,7023,0,64190,82295
2026-09-09,north_peak,F-CH,prime,m_25_49,59605,76417,82938,6521,0,59605,76417
2026-09-09,lake_city,D-CH,daytime,all_adults,326305,418341,396623,-21718,0,326305,418341
2026-09-09,lake_city,D-CH,daytime,w_25_49,91365,117135,111054,-6081,0,91365,117135
2026-09-09,lake_city,D-CH,daytime,m_25_49,84839,108768,103122,-5646,0,84839,108768
2026-09-09,lake_city,D-CH,prime,all_adults,502908,644755,575113,-69642,0,502908,644755
2026-09-09,lake_city,D-CH,prime,w_25_49,140814,180531,161032,-19499,0,140814,180531
2026-09-09,lake_city,D-CH,prime,m_25_49,130756,167636,149529,-18107,0,130756,167636
2026-09-09,lake_city,F-CH,daytime,all_adults,146661,188027,174219,-13808,0,146661,188027
2026-09-09,lake_city,F-CH,daytime,w_25_49,41065,52647,48781,-3866,0,41065,52647
2026-09-09,lake_city,F-CH,daytime,m_25_49,38131,48887,45297,-3590,0,38131,48887
2026-09-09,lake_city,F-CH,prime,all_adults,212612,272580,247103,-25477,0,212612,272580
2026-09-09,lake_city,F-CH,prime,w_25_49,59531,76322,69189,-7133,0,59531,76322
2026-09-09,lake_city,F-CH,prime,m_25_49,55279,70870,64247,-6623,0,55279,70870
2026-09-10,north_peak,D-CH,daytime,all_adults,315293,404222,350776,-53446,0,315293,404222
2026-09-10,north_peak,D-CH,daytime,w_25_49,88282,113182,98217,-14965,0,88282,113182
2026-09-10,north_peak,D-CH,daytime,m_25_49,81976,105097,91202,-13895,0,81976,105097
2026-09-10,north_peak,D-CH,prime,all_adults,546078,700101,670467,-29634,0,546078,700101
2026-09-10,north_peak,D-CH,prime,w_25_49,152901,196028,187731,-8297,0,152901,196028
2026-09-10,north_peak,D-CH,prime,m_25_49,141980,182026,174321,-7705,0,141980,182026
2026-09-10,north_peak,F-CH,daytime,all_adults,145565,186623,181223,-5400,0,145565,186623
2026-09-10,north_peak,F-CH,daytime,w_25_49,40758,52254,50742,-1512,0,40758,52254
2026-09-10,north_peak,F-CH,daytime,m_25_49,37846,48521,47118,-1403,0,37846,48521
2026-09-10,north_peak,F-CH,prime,all_adults,204381,262028,247319,-14709,0,204381,262028
2026-09-10,north_peak,F-CH,prime,w_25_49,57226,73367,69249,-4118,0,57226,73367
2026-09-10,north_peak,F-CH,prime,m_25_49,53139,68127,64303,-3824,0,53139,68127
2026-09-10,lake_city,D-CH,daytime,all_adults,316587,405882,393963,-11919,28000,288587,377882
2026-09-10,lake_city,D-CH,daytime,w_25_49,88644,113646,110310,-3336,28000,60644,85646
2026-09-10,lake_city,D-CH,daytime,m_25_49,82312,105529,102430,-3099,0,82312,105529
2026-09-10,lake_city,D-CH,prime,all_adults,496346,636342,601983,-34359,0,496346,636342
2026-09-10,lake_city,D-CH,prime,w_25_49,138976,178175,168555,-9620,0,138976,178175
2026-09-10,lake_city,D-CH,prime,m_25_49,129049,165448,156516,-8932,0,129049,165448
2026-09-10,lake_city,F-CH,daytime,all_adults,126211,161809,146510,-15299,0,126211,161809
2026-09-10,lake_city,F-CH,daytime,w_25_49,35339,45306,41023,-4283,0,35339,45306
2026-09-10,lake_city,F-CH,daytime,m_25_49,32814,42070,38093,-3977,0,32814,42070
2026-09-10,lake_city,F-CH,prime,all_adults,234432,300555,275398,-25157,0,234432,300555
2026-09-10,lake_city,F-CH,prime,w_25_49,65640,84155,77111,-7044,0,65640,84155
2026-09-10,lake_city,F-CH,prime,m_25_49,60952,78144,71603,-6541,0,60952,78144
2026-09-11,north_peak,D-CH,daytime,all_adults,306880,393436,392250,-1186,0,306880,393436
2026-09-11,north_peak,D-CH,daytime,w_25_49,85926,110162,109830,-332,0,85926,110162
2026-09-11,north_peak,D-CH,daytime,m_25_49,79788,102293,101985,-308,0,79788,102293
2026-09-11,north_peak,D-CH,prime,all_adults,550655,705968,602669,-103299,0,550655,705968
2026-09-11,north_peak,D-CH,prime,w_25_49,154183,197671,168747,-28924,0,154183,197671
2026-09-11,north_peak,D-CH,prime,m_25_49,143170,183551,156694,-26857,0,143170,183551
2026-09-11,north_peak,F-CH,daytime,all_adults,135870,174193,160159,-14034,0,135870,174193
2026-09-11,north_peak,F-CH,daytime,w_25_49,38043,48774,44845,-3929,0,38043,48774
2026-09-11,north_peak,F-CH,daytime,m_25_49,35326,45290,41641,-3649,0,35326,45290
2026-09-11,north_peak,F-CH,prime,all_adults,190733,244530,251571,7041,0,190733,244530
2026-09-11,north_peak,F-CH,prime,w_25_49,53405,68468,70440,1972,0,53405,68468
2026-09-11,north_peak,F-CH,prime,m_25_49,49590,63577,65408,1831,0,49590,63577
2026-09-11,lake_city,D-CH,daytime,all_adults,327139,419409,409223,-10186,28000,299139,391409
2026-09-11,lake_city,D-CH,daytime,w_25_49,91598,117434,114582,-2852,28000,63598,89434
2026-09-11,lake_city,D-CH,daytime,m_25_49,85056,109046,106398,-2648,0,85056,109046
2026-09-11,lake_city,D-CH,prime,all_adults,484858,621614,625581,3967,0,484858,621614
2026-09-11,lake_city,D-CH,prime,w_25_49,135760,174051,175163,1112,0,135760,174051
2026-09-11,lake_city,D-CH,prime,m_25_49,126063,161619,162651,1032,0,126063,161619
2026-09-11,lake_city,F-CH,daytime,all_adults,133139,170692,163619,-7073,0,133139,170692
2026-09-11,lake_city,F-CH,daytime,w_25_49,37278,47793,45813,-1980,0,37278,47793
2026-09-11,lake_city,F-CH,daytime,m_25_49,34616,44379,42541,-1838,0,34616,44379
2026-09-11,lake_city,F-CH,prime,all_adults,199085,255238,222749,-32489,0,199085,255238
2026-09-11,lake_city,F-CH,prime,w_25_49,55743,71466,62370,-9096,0,55743,71466
2026-09-11,lake_city,F-CH,prime,m_25_49,51762,66361,57915,-8446,0,51762,66361
2026-09-12,north_peak,D-CH,daytime,all_adults,290157,371997,345745,-26252,0,290157,371997
2026-09-12,north_peak,D-CH,daytime,w_25_49,81243,104159,96809,-7350,0,81243,104159
2026-09-12,north_peak,D-CH,daytime,m_25_49,75440,96719,89894,-6825,0,75440,96719
2026-09-12,north_peak,D-CH,prime,all_adults,423666,543162,525398,-17764,0,423666,543162
2026-09-12,north_peak,D-CH,prime,w_25_49,118626,152085,147111,-4974,0,118626,152085
2026-09-12,north_peak,D-CH,prime,m_25_49,110153,141222,136603,-4619,0,110153,141222
2026-09-12,north_peak,F-CH,daytime,all_adults,109838,140819,130871,-9948,0,109838,140819
2026-09-12,north_peak,F-CH,daytime,w_25_49,30754,39429,36644,-2785,0,30754,39429
2026-09-12,north_peak,F-CH,daytime,m_25_49,28557,36612,34026,-2586,0,28557,36612
2026-09-12,north_peak,F-CH,prime,all_adults,181490,232680,220080,-12600,0,181490,232680
2026-09-12,north_peak,F-CH,prime,w_25_49,50817,65150,61622,-3528,0,50817,65150
2026-09-12,north_peak,F-CH,prime,m_25_49,47187,60496,57221,-3275,0,47187,60496
2026-09-12,lake_city,D-CH,daytime,all_adults,266190,341270,331638,-9632,28000,238190,313270
2026-09-12,lake_city,D-CH,daytime,w_25_49,74533,95555,92859,-2696,28000,46533,67555
2026-09-12,lake_city,D-CH,daytime,m_25_49,69209,88730,86226,-2504,0,69209,88730
2026-09-12,lake_city,D-CH,prime,all_adults,445771,571502,585470,13968,0,445771,571502
2026-09-12,lake_city,D-CH,prime,w_25_49,124815,160020,163932,3912,0,124815,160020
2026-09-12,lake_city,D-CH,prime,m_25_49,115900,148590,152222,3632,0,115900,148590
2026-09-12,lake_city,F-CH,daytime,all_adults,115415,147968,136857,-11111,0,115415,147968
2026-09-12,lake_city,F-CH,daytime,w_25_49,32316,41431,38320,-3111,0,32316,41431
2026-09-12,lake_city,F-CH,daytime,m_25_49,30007,38471,35583,-2888,0,30007,38471
2026-09-12,lake_city,F-CH,prime,all_adults,160378,205613,215063,9450,0,160378,205613
2026-09-12,lake_city,F-CH,prime,w_25_49,44905,57571,60218,2647,0,44905,57571
2026-09-12,lake_city,F-CH,prime,m_25_49,41698,53459,55916,2457,0,41698,53459
2026-09-13,north_peak,D-CH,daytime,all_adults,284208,364370,349337,-15033,0,284208,364370
2026-09-13,north_peak,D-CH,daytime,w_25_49,79578,102023,97814,-4209,0,79578,102023
2026-09-13,north_peak,D-CH,daytime,m_25_49,73894,94736,90828,-3908,0,73894,94736
2026-09-13,north_peak,D-CH,prime,all_adults,378326,485034,430692,-54342,0,378326,485034
2026-09-13,north_peak,D-CH,prime,w_25_49,105931,135809,120594,-15215,0,105931,135809
2026-09-13,north_peak,D-CH,prime,m_25_49,98364,126108,111980,-14128,0,98364,126108
2026-09-13,north_peak,F-CH,daytime,all_adults,118451,151861,158498,6637,0,118451,151861
