booking_id,advertiser,status,channel,region,daypart,segment_id,start_date,end_date,daily_impressions,priority,date
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-24
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-25
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-26
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-27
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-28
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-29
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-30
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-10-01
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-10-02
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-10-03
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-10-04
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-10-05
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-10-06
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-10-07
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-10-08
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-10
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-11
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-12
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-13
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-14
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-15
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-16
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-17
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-18
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-19
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-20
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-21
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-22
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-23
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-24
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-25
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-26
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-27
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-28
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-29
B-201,Daytime Shop,firm,lake_city,D-CH,daytime,w_25_49,2026-09-10,2026-09-30,28000,2,2026-09-30
